Country,Climate_points,Renewable_rank,CO2_rank,Consumption_rank
Zambia,180.85,54.1,17.85,108.9
Bhutan,197.6,75.3,40.9,81.4
Switzerland,208.95,26.9,17.25,164.8
Norway,209.2,11.6,8.5,189.1
Mozambique,209.9,41.3,36.3,132.3
Eritrea,212.0,178.5,8.5,25.0
Falkland Islands,215.5,183.6,21.5,10.4
Malawi,216.1,103.8,46.8,65.5
Dominica,221.4,173.3,29.0,19.1
Greenland,221.7,144.9,33.4,43.4
Somalia,222.4,180.7,8.5,33.2
Lesotho,224.7,131.1,42.7,50.9
Antarctica,224.8,202.6,16.7,5.5
Vanuatu,225.7,179.7,32.0,14.0
Romania,226.2,39.9,46.7,139.6
Hawaiian Trade Zone,227.1,217.6,8.5,1.0
Saint Pierre and Miquelon,227.45,206.7,11.35,9.4
Sao Tome and Principe,228.9,183.0,29.1,16.8
Tuvalu,229.3,217.6,8.5,3.2
U.S. Territories,229.3,217.6,8.5,3.2
Northern Mariana Islands,229.3,217.6,8.5,3.2
Faroe Islands,229.7,162.5,21.0,46.2
Kiribati,229.8,195.8,22.0,12.0
Cook Islands,230.0,192.6,24.4,13.0
Congo-Kinshasa,232.4,61.8,73.0,97.6
Saint Vincent/Grenadines,232.6,175.7,34.1,22.8
Nauru,233.8,217.6,8.5,7.7
Samoa,234.0,170.4,34.2,29.4
Saint Kitts and Nevis,238.6,182.3,32.1,24.2
Belize,238.7,142.7,52.0,44.0
Central African Republic,239.3,160.4,50.4,28.5
Niue,240.2,217.6,17.1,5.5
Micronesia,242.2,217.6,8.5,16.1
Saint Helena,242.4,217.6,18.1,6.7
Kyrgyzstan,244.4,53.6,72.0,118.8
Eswatini,246.1,128.9,61.8,55.4
Comoros,246.3,193.8,32.3,20.2
British Virgin Islands,247.1,203.2,25.9,18.0
Burundi,247.3,159.4,50.4,37.5
Cabo Verde,250.4,168.0,35.6,46.8
Djibouti,251.0,207.9,8.5,34.6
American Samoa,251.5,217.6,8.5,25.4
Montserrat,252.2,217.6,24.4,10.2
French Guiana,254.3,133.2,67.1,54.0
Montenegro,254.6,124.8,63.1,66.7
Iceland,254.7,38.6,92.3,123.8
Turks and Caicos Islands,257.9,217.6,19.1,21.2
Rwanda,258.2,156.6,52.9,48.7
Albania,259.0,71.2,103.8,84.0
Tonga,260.2,217.6,27.5,15.1
Solomon Islands,260.85,186.3,43.75,30.8
Tajikistan,261.9,49.0,107.4,105.5
French Polynesia,262.8,155.4,55.9,51.5
Fiji,262.8,135.5,67.6,59.7
Paraguay,263.8,21.9,87.1,154.8
Grenada,265.1,197.5,40.0,27.6
Mali,266.5,117.0,69.9,79.6
Georgia,266.5,64.3,80.2,122.0
Macau,271.7,111.7,86.2,73.8
"Gambia, The",275.05,193.6,44.95,36.5
Guinea-Bissau,275.7,205.9,37.6,32.2
Uganda,276.0,94.7,86.2,95.1
Wake Island,276.6,217.6,8.5,50.5
Sierra Leone,277.3,162.7,70.0,44.6
Reunion,278.9,119.5,82.4,77.0
Palestinian Territories,279.9,100.1,96.6,83.2
Aruba,281.1,162.8,62.6,55.7
Nepal,281.1,79.5,100.1,101.5
Cayman Islands,281.2,190.6,49.6,41.0
Guinea,281.5,126.3,80.2,75.0
Saint Lucia,281.8,204.8,42.5,34.5
Western Sahara,282.7,217.6,40.5,24.6
Suriname,282.8,133.1,82.4,67.3
North Korea,283.85,56.3,92.95,134.6
Antigua and Barbuda,285.1,188.7,54.4,42.0
Niger,285.2,148.0,74.2,63.0
Chad,287.7,190.8,48.4,48.5
Namibia,288.9,96.3,107.0,85.6
U.S. Pacific Islands,289.4,226.4,36.8,26.2
Gabon,292.3,122.9,91.4,78.0
Armenia,292.6,124.4,77.1,91.1
Guadeloupe,292.9,153.6,72.7,66.6
Madagascar,293.0,125.8,91.2,76.0
Burkina Faso,293.7,142.0,78.5,73.2
Togo,295.9,145.8,86.0,64.1
Estonia,296.6,114.5,99.4,82.7
Guam,298.5,174.4,66.2,57.9
Nicaragua,300.3,106.0,103.0,91.3
Timor-Leste,302.1,217.6,47.4,37.1
Congo-Brazzaville,304.0,123.3,93.3,87.4
Costa Rica,306.1,53.4,127.6,125.1
Barbados,306.5,177.3,71.8,57.4
Cameroon,307.1,84.6,115.0,107.5
Seychelles,309.0,197.0,59.1,52.9
North Macedonia,310.0,98.0,117.9,94.1
Papua New Guinea,310.1,114.7,102.2,93.2
Latvia,310.2,90.5,116.1,103.6
Guyana,312.2,171.9,78.6,61.7
Bermuda,314.9,217.6,57.3,40.0
Uruguay,315.7,60.6,132.6,122.5
Botswana,317.4,122.1,108.5,86.8
Ethiopia,318.5,61.0,124.0,133.5
Haiti,319.1,167.9,80.6,70.6
El Salvador,320.1,88.4,121.5,110.2
Maldives,322.1,197.7,65.3,59.1
Martinique,323.3,172.0,82.5,68.8
New Caledonia,324.3,148.3,96.6,79.4
Liberia,324.5,227.7,58.4,38.4
Benin,327.9,139.9,98.7,89.3
Zimbabwe,327.9,82.5,133.3,112.1
Afghanistan,328.9,108.8,122.4,97.7
Lithuania,330.0,78.7,123.7,127.6
Mauritius,332.7,130.0,109.4,93.3
South Sudan,332.9,188.2,83.6,61.1
Bulgaria,333.0,106.2,87.2,139.6
Tanzania,333.7,100.3,119.1,114.3
Ghana,334.3,74.1,128.1,132.1
Honduras,335.0,90.0,126.8,118.2
Sweden,338.4,15.2,143.6,179.6
Mauritania,338.7,157.4,109.3,72.0
Laos,340.0,59.4,129.4,151.2
Kosovo,340.7,165.1,89.5,86.1
Equatorial Guinea,341.7,154.0,87.6,100.1
Cambodia,343.2,102.8,127.2,113.2
Guatemala,344.9,65.9,142.8,136.2
Kenya,346.2,73.4,137.9,134.9
Moldova,348.9,134.2,114.8,99.9
Slovenia,351.8,85.9,138.2,127.7
Burma,352.3,49.9,151.4,151.0
Panama,354.9,66.3,144.1,144.5
Slovakia,356.5,74.8,130.5,151.2
Côte d’Ivoire,357.4,114.9,125.9,116.6
Denmark,357.4,37.2,163.4,156.8
Croatia,357.7,59.2,153.1,145.4
New Zealand,359.9,30.8,163.2,165.9
Senegal,360.2,137.5,118.8,103.9
Angola,360.8,79.7,141.4,139.7
Sudan,361.0,72.1,147.4,141.5
Ecuador,361.9,43.9,158.5,159.5
Malta,364.5,151.9,111.1,101.5
Finland,364.9,24.9,171.7,168.3
Cuba,365.0,143.1,96.4,125.5
Peru,370.6,33.1,169.3,168.2
Bosnia and Herzegovina,373.1,99.0,143.5,130.6
U.S. Virgin Islands,373.8,184.4,98.0,91.4
The Bahamas,373.8,200.6,102.8,70.4
Sri Lanka,375.3,89.8,145.0,140.5
Cyprus,379.2,151.3,122.2,105.7
Bolivia,379.3,100.4,141.4,137.5
Austria,379.4,19.5,179.9,180.0
Portugal,380.4,32.5,174.3,173.6
Jamaica,382.3,151.1,125.3,105.9
Colombia,385.0,23.5,178.9,182.6
Mongolia,385.6,140.0,130.9,114.7
Ireland,390.3,69.7,163.3,157.3
Chile,391.4,27.5,182.9,181.0
Serbia,395.0,67.2,173.8,154.0
Dominican Republic,403.2,106.0,150.1,147.1
Former Serbia and Montenegro,406.2,47.3,189.2,169.7
Greece,407.2,46.5,184.1,176.6
Philippines,410.3,35.6,189.6,185.1
Hungary,410.6,93.6,159.8,157.2
Morocco,410.6,79.6,167.0,164.0
Venezuela,411.3,14.4,199.8,197.1
Pakistan,417.0,29.2,193.7,194.1
Azerbaijan,418.6,115.8,154.7,148.1
Netherlands Antilles,419.2,158.2,144.8,116.2
Vietnam,420.6,18.9,202.9,198.8
Argentina,421.8,27.0,197.0,197.8
Lebanon,421.8,130.4,149.1,142.3
Jordan,423.9,121.2,153.4,149.3
Nigeria,425.6,68.2,179.1,178.3
Former Czechoslovakia,427.6,57.0,186.2,184.4
Belgium,427.9,41.2,193.9,192.8
Netherlands,428.9,34.4,197.0,197.5
Syria,431.0,109.5,160.3,161.2
Spain,431.3,13.0,209.3,209.0
France,431.7,18.6,196.1,217.0
Yemen,433.8,164.8,141.0,128.0
Brunei,434.7,202.6,118.9,113.2
Ukraine,437.1,87.7,164.3,185.1
Turkey,438.9,15.6,211.5,211.8
Czech Republic,439.7,91.4,176.4,171.9
Luxembourg,439.7,189.5,131.9,118.3
Puerto Rico,439.8,143.3,155.8,140.7
Italy,443.2,11.1,216.8,215.3
Brazil,443.4,4.0,217.5,221.9
Tunisia,443.5,147.4,148.8,147.3
Iraq,443.9,67.9,189.7,186.3
Mexico,445.0,21.2,210.2,213.6
United Kingdom,445.5,16.8,215.8,212.9
Belarus,446.6,118.0,165.9,162.7
Malaysia,446.8,40.9,201.9,204.0
Hong Kong,447.0,85.1,185.3,176.6
Australia,448.9,23.5,213.7,211.7
Germany,450.0,7.8,224.0,218.2
